Tue Mar 24 17:29:29 2026    profiling_results/inference_patch_pipeline_full_run4.prof

         331751 function calls (322112 primitive calls) in 0.319 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.320    0.320 profiling_senarios.py:375(run_scenario)
        1    0.000    0.000    0.320    0.320 profiling_senarios.py:237(scenario_inference_patch_pipeline_full)
       27    0.000    0.000    0.248    0.009 context.py:118(wrapper)
  188/166    0.000    0.000    0.185    0.001 {built-in method builtins.next}
        2    0.000    0.000    0.185    0.092 profiling_senarios.py:142(mock_artguard_aws)
    28/19    0.000    0.000    0.184    0.010 contextlib.py:136(__enter__)
        1    0.000    0.000    0.134    0.134 inference_service.py:170(create_and_upload_patches)
       23    0.000    0.000    0.125    0.005 client.py:593(_api_call)
       23    0.001    0.000    0.124    0.005 client.py:994(_make_api_call)
        4    0.000    0.000    0.123    0.031 session.py:233(client)
        4    0.000    0.000    0.123    0.031 session.py:846(create_client)
        2    0.000    0.000    0.119    0.060 __init__.py:87(client)
        4    0.000    0.000    0.100    0.025 client.py:103(create_client)
    51/30    0.000    0.000    0.088    0.003 loaders.py:137(_wrapper)
       23    0.000    0.000    0.083    0.004 client.py:1082(_make_request)
       23    0.000    0.000    0.083    0.004 endpoint.py:113(make_request)
       23    0.000    0.000    0.083    0.004 endpoint.py:192(_send_request)
  258/227    0.001    0.000    0.079    0.000 hooks.py:410(emit)
  304/250    0.002    0.000    0.075    0.000 hooks.py:205(_emit)
  258/227    0.000    0.000    0.075    0.000 hooks.py:245(emit)
        5    0.000    0.000    0.069    0.014 loaders.py:375(load_service_model)
        1    0.000    0.000    0.066    0.066 preprocess.py:427(process_image_to_patches)
       13    0.000    0.000    0.066    0.005 factory.py:580(do_action)
        4    0.000    0.000    0.066    0.016 preprocess.py:367(_process_single_grid_patch)
       13    0.000    0.000    0.066    0.005 action.py:63(__call__)
        8    0.000    0.000    0.057    0.007 preprocess.py:320(_add_patch_record)
        8    0.000    0.000    0.057    0.007 preprocess.py:283(_upload_patch)
       23    0.000    0.000    0.054    0.002 endpoint.py:233(_get_response)
       23    0.000    0.000    0.053    0.002 endpoint.py:261(_do_get_response)
        3    0.004    0.001    0.047    0.016 loaders.py:279(list_available_services)
       23    0.000    0.000    0.046    0.002 botocore_stubber.py:32(__call__)
       23    0.002    0.000    0.045    0.002 botocore_stubber.py:45(process_request)
        2    0.000    0.000    0.043    0.022 __init__.py:96(resource)
        2    0.000    0.000    0.043    0.022 session.py:341(resource)
       14    0.000    0.000    0.040    0.003 loaders.py:437(load_data_with_path)
       19    0.000    0.000    0.040    0.002 loaders.py:184(load_file)
       32    0.000    0.000    0.040    0.001 loaders.py:172(_load_file)
        4    0.000    0.000    0.037    0.009 client.py:533(_get_client_args)
        4    0.000    0.000    0.037    0.009 args.py:106(get_client_args)
       44    0.000    0.000    0.035    0.001 __init__.py:304(loads)
       44    0.000    0.000    0.035    0.001 decoder.py:340(decode)
       44    0.034    0.001    0.034    0.001 decoder.py:351(raw_decode)
        1    0.000    0.000    0.033    0.033 profiling_senarios.py:85(_create_dynamodb_tables)
        4    0.000    0.000    0.031    0.008 client.py:232(_load_service_model)
       23    0.000    0.000    0.026    0.001 endpoint.py:121(create_request)
        1    0.000    0.000    0.024    0.024 config.py:64(s3_client)
      204    0.000    0.000    0.024    0.000 hooks.py:418(register)
  307/283    0.000    0.000    0.023    0.000 session.py:1198(get_component)
 2341/529    0.015    0.000    0.022    0.000 copy.py:62(copy)
