Tue Mar 24 17:28:38 2026    profiling_results/auth_crypto_burst_run1.prof

         6185 function calls in 12.419 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   12.419   12.419 profiling_senarios.py:375(run_scenario)
        1    0.000    0.000   12.419   12.419 profiling_senarios.py:178(scenario_auth_crypto_burst)
       40    0.000    0.000   12.086    0.302 passwords.py:26(verify_password)
       40   12.086    0.302   12.086    0.302 {built-in method bcrypt._bcrypt.checkpw}
        1    0.000    0.000    0.323    0.323 passwords.py:10(hash_password)
        1    0.323    0.323    0.323    0.323 {built-in method bcrypt._bcrypt.hashpw}
       40    0.000    0.000    0.009    0.000 jwt_tokens.py:67(decode_access_token)
       40    0.000    0.000    0.008    0.000 api_jwt.py:300(decode)
       40    0.000    0.000    0.008    0.000 api_jwt.py:174(decode_complete)
       40    0.000    0.000    0.006    0.000 api_jws.py:210(decode_complete)
       40    0.000    0.000    0.003    0.000 api_jws.py:294(_load)
       40    0.000    0.000    0.002    0.000 api_jws.py:332(_verify_signature)
       80    0.000    0.000    0.002    0.000 __init__.py:304(loads)
      120    0.000    0.000    0.001    0.000 utils.py:25(base64url_decode)
       40    0.001    0.000    0.001    0.000 api_jwt.py:379(_validate_claims)
       40    0.000    0.000    0.001    0.000 algorithms.py:387(verify)
       80    0.000    0.000    0.001    0.000 decoder.py:340(decode)
       41    0.000    0.000    0.001    0.000 algorithms.py:384(sign)
       41    0.000    0.000    0.001    0.000 jwt_tokens.py:19(_secret)
      120    0.000    0.000    0.001    0.000 base64.py:121(urlsafe_b64decode)
       41    0.000    0.000    0.001    0.000 <frozen os>:811(getenv)
       41    0.000    0.000    0.001    0.000 hmac.py:167(new)
       71    0.000    0.000    0.001    0.000 <frozen os>:712(__getitem__)
       40    0.000    0.000    0.001    0.000 api_jwt.py:284(_decode_payload)
       41    0.000    0.000    0.001    0.000 <frozen _collections_abc>:808(get)
       41    0.000    0.000    0.001    0.000 algorithms.py:373(check_key_length)
       41    0.000    0.000    0.001    0.000 hmac.py:38(__init__)
       80    0.000    0.000    0.000    0.000 decoder.py:351(raw_decode)
       41    0.000    0.000    0.000    0.000 hmac.py:66(_init_hmac)
      120    0.000    0.000    0.000    0.000 base64.py:65(b64decode)
       41    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha256}
       41    0.000    0.000    0.000    0.000 algorithms.py:325(prepare_key)
     1363    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
       41    0.000    0.000    0.000    0.000 {built-in method _hashlib.hmac_new}
       80    0.000    0.000    0.000    0.000 __init__.py:248(detect_encoding)
       40    0.000    0.000    0.000    0.000 {built-in method now}
       71    0.000    0.000    0.000    0.000 <frozen os>:794(encode)
        1    0.000    0.000    0.000    0.000 jwt_tokens.py:36(create_access_token)
      160    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
       41    0.000    0.000    0.000    0.000 hmac.py:151(digest)
       40    0.000    0.000    0.000    0.000 {method 'timestamp' of 'datetime.datetime' objects}
      161    0.000    0.000    0.000    0.000 utils.py:16(force_bytes)
      240    0.000    0.000    0.000    0.000 base64.py:34(_bytes_from_decode_data)
        1    0.000    0.000    0.000    0.000 api_jwt.py:90(encode)
      120    0.000    0.000    0.000    0.000 {built-in method binascii.a2b_base64}
      235    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       41    0.000    0.000    0.000    0.000 {method 'digest' of '_hashlib.HMAC' objects}
       41    0.000    0.000    0.000    0.000 utils.py:126(is_pem_format)
        1    0.000    0.000    0.000    0.000 api_jws.py:120(encode)
        1    0.000    0.000    0.000    0.000 profiling_senarios.py:49(configure_profiling_environment)
       40    0.000    0.000    0.000    0.000 api_jwt.py:465(_validate_iat)
       15    0.000    0.000    0.000    0.000 <frozen os>:754(setdefault)
      281    0.000    0.000    0.000    0.000 {method 'startswith' of 'bytes' objects}
      321    0.000    0.000    0.000    0.000 {built-in method builtins.len}
      123    0.000    0.000    0.000    0.000 {method 'translate' of 'bytes' objects}
       71    0.000    0.000    0.000    0.000 <frozen os>:798(decode)
      153    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
       40    0.000    0.000    0.000    0.000 {method 'rsplit' of 'bytes' objects}
       41    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
       41    0.000    0.000    0.000    0.000 utils.py:141(is_ssh_key)
       15    0.000    0.000    0.000    0.000 <frozen _collections_abc>:815(__contains__)
      160    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
        2    0.000    0.000    0.000    0.000 __init__.py:185(dumps)
       40    0.000    0.000    0.000    0.000 {method 'split' of 'bytes' objects}
       40    0.000    0.000    0.000    0.000 api_jwt.py:494(_validate_exp)
       41    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 api_jwt.py:156(_encode_payload)
       40    0.000    0.000    0.000    0.000 api_jwt.py:430(_validate_sub)
       83    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       41    0.000    0.000    0.000    0.000 api_jws.py:99(get_algorithm_by_name)
        2    0.000    0.000    0.000    0.000 encoder.py:185(encode)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
       40    0.000    0.000    0.000    0.000 api_jws.py:373(_validate_headers)
       40    0.000    0.000    0.000    0.000 api_jwt.py:421(_validate_required_claims)
        3    0.000    0.000    0.000    0.000 utils.py:36(base64url_encode)
       40    0.000    0.000    0.000    0.000 {built-in method _hashlib.compare_digest}
        2    0.000    0.000    0.000    0.000 encoder.py:207(iterencode)
       40    0.000    0.000    0.000    0.000 api_jwt.py:75(_merge_options)
       40    0.000    0.000    0.000    0.000 api_jwt.py:510(_validate_aud)
       40    0.000    0.000    0.000    0.000 api_jwt.py:451(_validate_jti)
        3    0.000    0.000    0.000    0.000 base64.py:112(urlsafe_b64encode)
       40    0.000    0.000    0.000    0.000 api_jwt.py:560(_validate_iss)
       41    0.000    0.000    0.000    0.000 hmac.py:139(_current)
        3    0.000    0.000    0.000    0.000 base64.py:51(b64encode)
        1    0.000    0.000    0.000    0.000 {built-in method bcrypt._bcrypt.gensalt}
       40    0.000    0.000    0.000    0.000 typing.py:2383(cast)
        3    0.000    0.000    0.000    0.000 {built-in method binascii.b2a_base64}
        2    0.000    0.000    0.000    0.000 encoder.py:105(__init__)
        3    0.000    0.000    0.000    0.000 {method 'replace' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {built-in method time.time}
        2    0.000    0.000    0.000    0.000 {method 'join' of 'bytes' objects}
        3    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        2    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}


