Tue Mar 24 17:29:29 2026    profiling_results/inference_patch_pipeline_full_run5.prof

         331749 function calls (322110 primitive calls) in 0.301 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.302    0.302 profiling_senarios.py:375(run_scenario)
        1    0.000    0.000    0.302    0.302 profiling_senarios.py:237(scenario_inference_patch_pipeline_full)
       27    0.000    0.000    0.232    0.009 context.py:118(wrapper)
  188/166    0.000    0.000    0.182    0.001 {built-in method builtins.next}
        2    0.000    0.000    0.182    0.091 profiling_senarios.py:142(mock_artguard_aws)
    28/19    0.000    0.000    0.181    0.010 contextlib.py:136(__enter__)
       23    0.000    0.000    0.121    0.005 client.py:593(_api_call)
       23    0.001    0.000    0.121    0.005 client.py:994(_make_api_call)
        1    0.000    0.000    0.119    0.119 inference_service.py:170(create_and_upload_patches)
        4    0.000    0.000    0.111    0.028 session.py:233(client)
        4    0.000    0.000    0.111    0.028 session.py:846(create_client)
        2    0.000    0.000    0.108    0.054 __init__.py:87(client)
        4    0.000    0.000    0.089    0.022 client.py:103(create_client)
    51/30    0.000    0.000    0.085    0.003 loaders.py:137(_wrapper)
       23    0.000    0.000    0.081    0.004 client.py:1082(_make_request)
       23    0.000    0.000    0.081    0.004 endpoint.py:113(make_request)
       23    0.000    0.000    0.081    0.004 endpoint.py:192(_send_request)
  258/227    0.001    0.000    0.078    0.000 hooks.py:410(emit)
  304/250    0.002    0.000    0.074    0.000 hooks.py:205(_emit)
  258/227    0.000    0.000    0.073    0.000 hooks.py:245(emit)
       13    0.000    0.000    0.067    0.005 factory.py:580(do_action)
       13    0.000    0.000    0.067    0.005 action.py:63(__call__)
        5    0.000    0.000    0.067    0.013 loaders.py:375(load_service_model)
        1    0.000    0.000    0.063    0.063 preprocess.py:427(process_image_to_patches)
        4    0.000    0.000    0.062    0.016 preprocess.py:367(_process_single_grid_patch)
        8    0.000    0.000    0.054    0.007 preprocess.py:320(_add_patch_record)
        8    0.000    0.000    0.054    0.007 preprocess.py:283(_upload_patch)
       23    0.000    0.000    0.053    0.002 endpoint.py:233(_get_response)
       23    0.000    0.000    0.052    0.002 endpoint.py:261(_do_get_response)
        3    0.003    0.001    0.045    0.015 loaders.py:279(list_available_services)
       23    0.000    0.000    0.045    0.002 botocore_stubber.py:32(__call__)
       23    0.002    0.000    0.044    0.002 botocore_stubber.py:45(process_request)
        2    0.000    0.000    0.040    0.020 __init__.py:96(resource)
        2    0.000    0.000    0.040    0.020 session.py:341(resource)
       14    0.000    0.000    0.039    0.003 loaders.py:437(load_data_with_path)
       19    0.000    0.000    0.039    0.002 loaders.py:184(load_file)
       32    0.000    0.000    0.039    0.001 loaders.py:172(_load_file)
       44    0.000    0.000    0.034    0.001 __init__.py:304(loads)
       44    0.000    0.000    0.034    0.001 decoder.py:340(decode)
       44    0.034    0.001    0.034    0.001 decoder.py:351(raw_decode)
        1    0.000    0.000    0.032    0.032 profiling_senarios.py:85(_create_dynamodb_tables)
        4    0.000    0.000    0.031    0.008 client.py:232(_load_service_model)
       23    0.000    0.000    0.026    0.001 endpoint.py:121(create_request)
        4    0.000    0.000    0.024    0.006 client.py:533(_get_client_args)
        4    0.000    0.000    0.024    0.006 args.py:106(get_client_args)
      204    0.000    0.000    0.024    0.000 hooks.py:418(register)
  307/283    0.000    0.000    0.022    0.000 session.py:1198(get_component)
       19    0.000    0.000    0.021    0.001 loaders.py:456(load_data)
        4    0.000    0.000    0.020    0.005 client.py:239(_load_service_endpoints_ruleset)
        4    0.000    0.000    0.018    0.005 __init__.py:73(_get_default_session)
        1    0.000    0.000    0.018    0.018 __init__.py:28(setup_default_session)
        1    0.000    0.000    0.018    0.018 session.py:55(__init__)
       25    0.000    0.000    0.018    0.001 session.py:828(_get_internal_component)
        1    0.000    0.000    0.018    0.018 session.py:205(create_default_resolver)
       23    0.000    0.000    0.017    0.001 client.py:1146(_resolve_endpoint_ruleset)
       23    0.000    0.000    0.017    0.001 regions.py:490(construct_endpoint)
      519    0.009    0.000    0.017    0.000 hooks.py:454(_alias_event_name)
        1    0.000    0.000    0.016    0.016 session.py:1326(get_session)
        1    0.000    0.000    0.016    0.016 session.py:99(__init__)
       13    0.000    0.000    0.016    0.001 responses.py:281(dispatch)
       13    0.000    0.000    0.016    0.001 responses.py:457(_dispatch)
      124    0.000    0.000    0.016    0.000 session.py:723(register)
        1    0.000    0.000    0.016    0.016 session.py:249(_register_builtin_handlers)
       23    0.000    0.000    0.014    0.001 signers.py:103(handler)
       23    0.000    0.000    0.014    0.001 signers.py:110(sign)
     4095    0.014    0.000    0.014    0.000 {built-in method posix.stat}
       23    0.000    0.000    0.013    0.001 utils.py:1515(inner)
       13    0.000    0.000    0.013    0.001 aws_headers.py:43(_wrapper)
       16    0.000    0.000    0.013    0.001 utils.py:1511(func_with_weakref)
       13    0.000    0.000    0.013    0.001 responses.py:258(call_action)
